Status,Wikidata,Target,SAT,OSM Count,OSM Links
redirect,Q134871089,Q106678630,sat:poi:978hx,1,https://www.openstreetmap.org/node/12905547872
redirect,Q135040652,Q134692920,sat:poi:zqc6r,1,https://www.openstreetmap.org/node/12881274960
redirect,Q136337450,Q135110110,sat:poi:pvz9y,1,https://www.openstreetmap.org/node/13157558827
deleted,Q134605030,,sat:poi:c8je6,1,https://www.openstreetmap.org/node/3431736753
deleted,Q134607564,,sat:poi:b7nxb,1,https://www.openstreetmap.org/node/1392309442
deleted,Q134607783,,sat:poi:mxxwb,1,https://www.openstreetmap.org/node/863394662
deleted,Q134717347,,sat:poi:g3k29,1,https://www.openstreetmap.org/node/12090393146
deleted,Q134717362,,sat:poi:kkevg,1,https://www.openstreetmap.org/node/9936118752
deleted,Q134726995,,sat:poi:b3bvp,1,https://www.openstreetmap.org/node/4958553279
deleted,Q134985579,,sat:poi:nsjj5,1,https://www.openstreetmap.org/node/5728811330
deleted,Q134985660,,sat:poi:65far,1,https://www.openstreetmap.org/node/5798509123
deleted,Q134985757,,sat:poi:95d39,1,https://www.openstreetmap.org/node/10948911479
deleted,Q134986918,,sat:poi:2var9,1,https://www.openstreetmap.org/node/12945087542
deleted,Q134987122,,sat:poi:4z558,1,https://www.openstreetmap.org/node/4879006116
deleted,Q135011579,,sat:poi:rjyg9,1,https://www.openstreetmap.org/node/12942415533
deleted,Q135197036,,sat:poi:zxxhc,1,https://www.openstreetmap.org/node/5630510921
deleted,Q135197156,,sat:poi:nvh64,1,https://www.openstreetmap.org/node/6535493386
deleted,Q135230746,,sat:poi:v2vea,1,https://www.openstreetmap.org/node/4936508701
deleted,Q135267999,,sat:poi:zmh6w,1,https://www.openstreetmap.org/node/5745003240
deleted,Q135268016,,sat:poi:n47kg,1,https://www.openstreetmap.org/node/4990875342
