label,island,sites,avg_distance_m
SAT Grinda,Grinda,15,41.694674663930705
SAT Finnhamn,Finnhamn,7,29.926555643425292
SAT Landsort,Öja,6,14.23474064453383
SAT Rånö,Rånö,5,8.87901421581615
SAT Utö,Utö,5,42.10929606937882
SAT Arholma,Arholma,4,52.56075509982761
SAT Nåttarö,Nåttarö,3,71.32571551087572
SAT Ålö,Ålö,3,40.95608861789637
SAT Lidö,Lidö,2,37.572460682200784
SAT Nämdö,Nämdö,2,11.054254237466635
SAT Ornö,Ornö,2,46.438389727801066
SAT Sandhamn,Sandön,2,27.375656956340194
SAT Fjärdlång,Fjärdlång,1,5.464992819603241
SAT Ingmarsö,Ingmarsö,1,68.10622909801782
SAT Möja,Möja,1,6.1257155575294675
SAT Svartsö,Svartsö,1,198.0484826377235
